#title = SLSTR Level 2 Product, Fire Radiative Power (FRP) measurement, Near Real Time (NRT)
#description = csv output from the Alternative MWIR 1km scheme
#product_name = S3B_SL_2_FRP____20250811T090721_20250811T091221_20250811T111101_0299_109_378______MAR_O_NR_003.SEN3
#institution = EUMETSAT (Darmstadt, Germany)
#source = IPF-SL-2-FRP 04.03
#history = 
#reference1 = EUM/RSP/DOC/20/1169482 - EUMETSAT - FRP_NRT.003.00 SLSTR L2 NRT FRP Product Data Format Specification
#reference2 = S3IPF PDS 002 - i1r8 - Product Data Format Specification - Product Structures
#reference3 = S3MPC ACR FRP 002 - i1r3 - SLSTR L2 FRP Detailed processing model
#contact = ops@eumetsat.int
#creation_time = Mon Aug 11 11:11:25 2025
#absolute_orbit_number = 37995
#start_time = 2025-08-11T09:07:21.169453Z
#stop_time = 2025-08-11T09:12:21.158996Z
#processing baseline = FRP_NRT.003.01.00
#track_offset = 998
#start_offset = 14010
#number_of_detected_fires = 77

lat(deg),lon(deg),day,time,D/N,FRP(MW),FRPerr(MW),used_channel,MWIR_confidence_Abs_BT(%),MWIR_BT(K),IFOV_area(m2),SZA(deg),VZA(deg),eff_across_track_size(km),eff_along_track_size(km),satellite
51.403209,19.097174,2025-08-11,09:08:43,D,7.774712,1.695360,F1,12.833333,313.850000,995615.437500,41.459311,25.342495,0.948579,1.049586,S3B
51.423919,17.924876,2025-08-11,09:08:50,D,7.784212,1.454782,F1,16.700000,315.010000,1045046.312500,41.932924,30.549599,0.948674,1.101586,S3B
51.352849,17.541729,2025-08-11,09:08:54,D,7.839375,1.632832,F1,12.566667,313.770000,1062135.625000,42.025974,32.131081,0.948394,1.119930,S3B
48.606240,21.178868,2025-08-11,09:09:15,D,10.576138,1.892847,F1,51.266667,325.380000,907678.625000,38.373035,10.904240,0.944082,0.961441,S3B
47.284112,27.319082,2025-08-11,09:09:26,D,9.432722,1.942666,F1,19.100000,315.730000,1017441.875000,35.019359,27.134821,0.951556,1.069241,S3B
44.730986,26.582212,2025-08-11,09:10:11,D,24.488075,3.374196,F1,88.866667,336.660000,1042122.750000,32.973951,29.620150,0.951808,1.094887,S3B
44.732175,26.598277,2025-08-11,09:10:11,D,22.606832,2.640527,F1,84.600000,335.380000,1042122.750000,32.973951,29.620150,0.951808,1.094887,S3B
44.287463,26.191191,2025-08-11,09:10:19,D,8.095557,1.854198,F1,50.800000,325.240000,1032801.500000,32.754611,28.718009,0.951715,1.085200,S3B
44.688670,24.036187,2025-08-11,09:10:11,D,18.780994,2.325462,F1,77.400000,333.220000,939431.000000,33.970742,16.882433,0.948127,0.990829,S3B
44.902258,21.965305,2025-08-11,09:10:11,D,11.917127,2.293402,F1,58.266667,327.480000,893879.500000,35.031757,7.227001,0.941689,0.949230,S3B
