#title = SLSTR Level 2 Product, Fire Radiative Power (FRP) measurement, Near Real Time (NRT)
#description = csv output from the Standard MWIR 1km scheme
#product_name = S3B_SL_2_FRP____20250811T090721_20250811T091221_20250811T111101_0299_109_378______MAR_O_NR_003.SEN3
#institution = EUMETSAT (Darmstadt, Germany)
#source = IPF-SL-2-FRP 04.03
#history = 
#reference1 = EUM/RSP/DOC/20/1169482 - EUMETSAT - FRP_NRT.003.00 SLSTR L2 NRT FRP Product Data Format Specification
#reference2 = S3IPF PDS 002 - i1r8 - Product Data Format Specification - Product Structures
#reference3 = S3MPC ACR FRP 002 - i1r3 - SLSTR L2 FRP Detailed processing model
#contact = ops@eumetsat.int
#creation_time = Mon Aug 11 11:11:25 2025
#absolute_orbit_number = 37995
#start_time = 2025-08-11T09:07:21.169453Z
#stop_time = 2025-08-11T09:12:21.158996Z
#processing baseline = FRP_NRT.003.01.00
#track_offset = 998
#start_offset = 14010
#number_of_detected_fires = 55

lat(deg),lon(deg),day,time,D/N,FRP(MW),FRPerr(MW),used_channel,MWIR_confidence(%),MWIR_BT(K),IFOV_area(m2),SZA(deg),VZA(deg),eff_across_track_size(km),eff_along_track_size(km),satellite
51.398124,19.094080,2025-08-11,09:08:43,D,11.753614,2.563002,F1,58.874111,313.850000,1505146.375000,41.459311,25.342495,1.166319,1.290510,S3B
51.416580,17.928256,2025-08-11,09:08:50,D,12.823993,2.396661,F1,69.910643,315.010000,1721647.250000,41.932924,30.549599,1.217647,1.413913,S3B
51.349320,17.538356,2025-08-11,09:08:54,D,13.311004,2.772495,F1,52.296327,313.770000,1803471.625000,42.025974,32.131081,1.235816,1.459337,S3B
48.606981,21.179833,2025-08-11,09:09:15,D,13.914830,2.490384,F1,87.491732,325.380000,1194216.000000,38.373035,10.904240,1.082892,1.102803,S3B
47.289318,27.320308,2025-08-11,09:09:26,D,14.332593,2.951794,F1,0.000000,315.730000,1545956.875000,35.019359,27.134821,1.172946,1.318012,S3B
48.282656,14.335652,2025-08-11,09:10:06,D,64.492916,8.865800,F1,0.000000,332.620000,2579092.000000,41.075430,41.949419,1.384977,1.862191,S3B
44.727464,26.582074,2025-08-11,09:10:11,D,38.142961,5.255693,F1,97.666984,336.660000,1645910.875000,32.973951,29.620150,1.196171,1.375983,S3B
44.728637,26.598088,2025-08-11,09:10:11,D,36.282860,4.237917,F1,96.710599,335.380000,1649221.250000,32.967257,29.684286,1.196992,1.377805,S3B
44.293057,26.198220,2025-08-11,09:10:19,D,12.600962,2.886112,F1,87.331867,325.240000,1607584.625000,32.754611,28.718009,1.187369,1.353905,S3B
44.695485,24.038607,2025-08-11,09:10:11,D,25.418501,3.147318,F1,95.005378,333.220000,1271441.125000,33.970742,16.882433,1.103017,1.152695,S3B
44.901859,21.965763,2025-08-11,09:10:11,D,15.431891,2.969804,F1,87.766183,327.480000,1157514.750000,35.031757,7.227001,1.071596,1.080178,S3B
44.431267,22.710756,2025-08-11,09:10:17,D,13.528783,2.826446,F1,93.114992,331.000000,1187285.250000,34.325506,10.837751,1.079865,1.099476,S3B
44.429956,22.723579,2025-08-11,09:10:17,D,262.194587,26.622576,F1,100.000000,399.580000,1187916.500000,34.318102,10.898771,1.080042,1.099880,S3B
44.428649,22.736417,2025-08-11,09:10:17,D,140.410097,14.337676,F1,100.000000,378.150000,1188575.750000,34.310699,10.959790,1.080230,1.100299,S3B
44.427367,22.749199,2025-08-11,09:10:17,D,171.743865,17.475743,F1,100.000000,384.670000,1189225.625000,34.303295,11.020810,1.080414,1.100713,S3B
44.421280,22.720851,2025-08-11,09:10:17,D,60.930248,6.610856,F1,100.000000,355.690000,1187916.500000,34.312504,10.898784,1.080042,1.099880,S3B
44.419974,22.733693,2025-08-11,09:10:17,D,26.902782,3.501231,F1,100.000000,340.570000,1188575.750000,34.305099,10.959804,1.080230,1.100299,S3B
44.418698,22.746473,2025-08-11,09:10:17,D,30.954907,3.894310,F1,100.000000,342.600000,1189225.625000,34.297694,11.020823,1.080414,1.100713,S3B
44.424682,22.601464,2025-08-11,09:10:17,D,56.713120,6.512141,F1,100.000000,353.520000,1182452.625000,34.367867,10.358381,1.078509,1.096377,S3B
44.423305,22.614194,2025-08-11,09:10:17,D,19.195264,3.743829,F1,96.519318,335.130000,1183035.500000,34.360497,10.416486,1.078674,1.096749,S3B
45.016626,18.480152,2025-08-11,09:10:23,D,14.696977,2.079564,F1,83.517309,322.190000,1302078.125000,36.729276,17.838745,1.113318,1.169547,S3B
43.099923,20.990387,2025-08-11,09:10:43,D,57.982083,7.265257,F1,100.000000,353.250000,1153924.000000,34.044238,6.591925,1.070652,1.077777,S3B
43.097856,21.002445,2025-08-11,09:10:43,D,25.588471,4.716266,F1,95.614396,335.650000,1154043.625000,34.036802,6.612470,1.070685,1.077855,S3B
43.114638,19.229125,2025-08-11,09:10:49,D,7.987374,1.710513,F1,61.274583,313.310000,1193494.250000,34.921229,10.851528,1.082660,1.102372,S3B
42.663348,21.560662,2025-08-11,09:10:49,D,8.340266,1.357702,F1,77.300413,318.280000,1168494.000000,33.440722,8.738577,1.074677,1.087298,S3B
42.778039,20.861697,2025-08-11,09:10:48,D,24.247366,3.082119,F1,96.718219,335.390000,1153811.000000,33.856890,6.571222,1.070622,1.077702,S3B
42.775952,20.873696,2025-08-11,09:10:48,D,14.357223,2.328763,F1,89.842257,327.560000,1153924.000000,33.849437,6.591772,1.070652,1.077777,S3B
42.519030,21.853797,2025-08-11,09:10:50,D,13.381060,1.855101,F1,91.575052,329.320000,1181874.875000,33.181787,10.303117,1.078340,1.096013,S3B
42.577893,21.184276,2025-08-11,09:10:51,D,17.058647,2.765931,F1,95.168479,333.420000,1159280.375000,33.553432,7.500217,1.072083,1.081335,S3B
42.873740,18.902596,2025-08-11,09:10:54,D,17.784063,2.284489,F1,90.862544,328.580000,1207911.250000,34.898883,12.029297,1.086916,1.111320,S3B
42.185916,18.984870,2025-08-11,09:11:04,D,26.529669,4.033142,F1,0.000000,335.600000,1190083.250000,34.354826,10.547275,1.081654,1.100244,S3B
42.182743,18.996969,2025-08-11,09:11:04,D,67.233601,7.431734,F1,92.210791,355.490000,1189432.250000,34.347155,10.489077,1.081460,1.099839,S3B
42.179561,19.008906,2025-08-11,09:11:04,D,39.127640,4.875853,F1,96.419250,341.810000,1188792.000000,34.339484,10.430879,1.081271,1.099440,S3B
42.177508,18.981278,2025-08-11,09:11:05,D,218.514147,22.305429,F1,100.000000,393.130000,1190083.250000,34.349856,10.547288,1.081654,1.100244,S3B
42.174230,18.993002,2025-08-11,09:11:05,D,283.529701,28.836223,F1,100.000000,403.050000,1189432.250000,34.342184,10.489090,1.081460,1.099839,S3B
42.161819,19.002331,2025-08-11,09:11:05,D,55.175039,7.001910,F1,0.000000,349.950000,1188792.000000,34.329563,10.430905,1.081271,1.099440,S3B
41.272678,19.760843,2025-08-11,09:11:16,D,45.463107,5.558849,F1,100.000000,348.610000,1155034.625000,33.279260,6.635375,1.071120,1.078343,S3B
41.266455,19.746051,2025-08-11,09:11:16,D,84.926057,9.599455,F1,100.000000,364.350000,1155163.625000,33.281995,6.656063,1.071157,1.078426,S3B
41.263971,19.757690,2025-08-11,09:11:16,D,47.072725,5.562722,F1,100.000000,349.290000,1155034.625000,33.274343,6.635378,1.071120,1.078343,S3B
42.033807,13.637597,2025-08-11,09:11:45,D,28.402624,4.395089,F1,90.882097,328.600000,2226254.250000,37.119332,38.278221,1.321982,1.684028,S3B
40.807716,20.356983,2025-08-11,09:11:22,D,212.375411,21.543066,F1,100.000000,394.180000,1155816.375000,32.620010,6.938029,1.071146,1.079047,S3B
40.805745,20.368693,2025-08-11,09:11:22,D,24.798857,3.398234,F1,96.210079,334.730000,1155987.875000,32.612430,6.970275,1.071188,1.079164,S3B
40.799180,20.354096,2025-08-11,09:11:22,D,23.258192,3.631148,F1,95.241511,333.510000,1155816.375000,32.615069,6.938039,1.071146,1.079047,S3B
